epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,876.368,1.92868,3.22696,0.0166,0.47404,0.3977,0.38198,0.17598,1.96365,2.33362,0.0174,0.00999539,0.0033318,0.00999539,0.0033318,0.00999539,0.0033318,0.00999539,0.0033318
2,1523.55,1.94895,2.34846,0.01699,0.44509,0.40241,0.35507,0.16251,2.0645,2.3803,0.01908,0.0199905,0.0066635,0.0199905,0.0066635,0.0199905,0.0066635,0.0199905,0.0066635
3,2093.42,2.02987,2.55387,0.01817,0.37151,0.31457,0.26158,0.11254,2.16306,2.73325,0.02084,0.0299661,0.0099887,0.0299661,0.0099887,0.0299661,0.0099887,0.0299661,0.0099887
4,2635.45,2.05885,2.59903,0.0187,0.43826,0.40443,0.35157,0.15496,2.03367,2.40246,0.01904,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3178.26,1.98096,2.43348,0.01767,0.49906,0.42018,0.4195,0.19646,1.98592,2.23392,0.0181,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3721.65,1.94385,2.28436,0.01706,0.51331,0.4614,0.4578,0.21818,1.95325,2.10961,0.01757,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,4267.48,1.92031,2.20245,0.01675,0.52753,0.46858,0.47385,0.23173,1.90162,2.05938,0.01718,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,4810.41,1.90106,2.11235,0.01635,0.55875,0.48071,0.50182,0.25175,1.92267,1.97899,0.01702,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,5355,1.88021,2.03839,0.01614,0.56214,0.51694,0.52344,0.26445,1.88293,1.93207,0.0165,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,5900.09,1.86696,1.98722,0.01593,0.58261,0.5193,0.54502,0.28059,1.83586,1.86586,0.01603,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,6444.71,1.84564,1.93438,0.01571,0.60175,0.52703,0.55471,0.28875,1.85381,1.84564,0.01612,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,6989.14,1.8343,1.8973,0.01559,0.60656,0.53286,0.56651,0.29516,1.83171,1.81571,0.01586,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,7534.04,1.81393,1.84126,0.01533,0.6199,0.5321,0.57661,0.30196,1.81695,1.78272,0.01567,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,8079.95,1.81594,1.79874,0.01528,0.62918,0.54914,0.5898,0.31075,1.82288,1.76954,0.01568,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,8626.07,1.79871,1.76808,0.01509,0.63431,0.55535,0.59176,0.31471,1.79764,1.75131,0.01536,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,9169.85,1.79215,1.7365,0.01499,0.65581,0.55406,0.60216,0.31977,1.80969,1.73793,0.0155,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,9714.43,1.77257,1.70082,0.01471,0.65491,0.56343,0.60732,0.32528,1.78912,1.71838,0.01519,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,10259.7,1.75908,1.66413,0.01473,0.66603,0.56196,0.6135,0.33159,1.78549,1.70636,0.01512,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,10802.7,1.74872,1.63774,0.01446,0.65919,0.56458,0.61227,0.33324,1.78764,1.68515,0.0151,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,11348.7,1.73426,1.59132,0.01436,0.66134,0.58316,0.62478,0.33871,1.78322,1.67057,0.01511,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,11898.9,1.72715,1.57153,0.01423,0.66449,0.57725,0.62371,0.34089,1.78415,1.66208,0.01504,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,12448.7,1.71907,1.54601,0.01409,0.67583,0.57689,0.6277,0.34232,1.78109,1.65787,0.01503,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,12998.2,1.71069,1.52176,0.01407,0.66141,0.58175,0.62932,0.34266,1.7746,1.65787,0.01502,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,13547.9,1.69648,1.48024,0.01388,0.70045,0.56006,0.62881,0.34282,1.77046,1.66297,0.01495,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,14097.8,1.68746,1.47179,0.01376,0.69758,0.56513,0.62989,0.34463,1.76922,1.66304,0.01493,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,14647.9,1.66931,1.45364,0.01358,0.69264,0.56746,0.63073,0.34447,1.77327,1.65669,0.01496,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,15196.9,1.65443,1.42443,0.01337,0.67795,0.57952,0.63124,0.34448,1.77023,1.66376,0.01488,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,15746.5,1.65168,1.41364,0.01342,0.69383,0.57163,0.62999,0.34454,1.77293,1.66206,0.01491,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,16295.4,1.64007,1.39244,0.01333,0.68,0.57927,0.62953,0.34535,1.77012,1.66564,0.01487,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,16844.6,1.62754,1.3678,0.01305,0.67842,0.57885,0.63066,0.34533,1.77004,1.66411,0.01487,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,17393.5,1.62134,1.33837,0.01306,0.69051,0.57589,0.63125,0.34526,1.77082,1.6618,0.01487,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,17942.9,1.61183,1.33371,0.01296,0.68794,0.57829,0.63392,0.34607,1.7746,1.65971,0.0149,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,18492.2,1.59753,1.30252,0.01282,0.68792,0.57527,0.63335,0.34593,1.77383,1.66064,0.01489,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,19040.8,1.58335,1.28248,0.0128,0.69165,0.57496,0.63356,0.34633,1.774,1.66084,0.01489,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,19590.7,1.57599,1.26526,0.01264,0.67929,0.58516,0.63541,0.34708,1.77312,1.66318,0.0149,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,20139.2,1.57089,1.26072,0.01253,0.68023,0.58348,0.63406,0.34664,1.77148,1.66166,0.0149,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,20686,1.55373,1.24134,0.01235,0.68447,0.58075,0.63373,0.34686,1.77249,1.65952,0.01492,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,21229.8,1.54324,1.22883,0.01225,0.68979,0.57834,0.63485,0.34691,1.7722,1.66173,0.01492,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,21776.4,1.53794,1.21459,0.01221,0.69154,0.57754,0.63434,0.34695,1.77224,1.66329,0.01491,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,22322.5,1.52036,1.18418,0.01204,0.69047,0.58086,0.63363,0.34719,1.77129,1.6667,0.01489,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,22871.4,1.51353,1.1708,0.01192,0.69151,0.57912,0.63352,0.34718,1.77072,1.66857,0.0149,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,23421.7,1.49708,1.15701,0.01178,0.68458,0.58228,0.63339,0.34692,1.76994,1.67348,0.01488,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,23970.1,1.48925,1.15342,0.01168,0.68741,0.58217,0.63374,0.34745,1.76975,1.67575,0.01487,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,24520.5,1.47928,1.12777,0.01161,0.68902,0.58305,0.63505,0.34822,1.77204,1.67541,0.0149,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,25070.9,1.46407,1.11094,0.01144,0.68831,0.58544,0.63641,0.34892,1.77364,1.67632,0.01493,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,25621.1,1.45569,1.1006,0.01134,0.68845,0.58395,0.63606,0.34798,1.77653,1.67787,0.01494,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,26169.5,1.44885,1.08095,0.0113,0.68811,0.5849,0.63632,0.3481,1.77801,1.67992,0.01497,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,26718.3,1.44439,1.06894,0.01117,0.68472,0.58736,0.63567,0.34726,1.77757,1.6859,0.01496,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,27266.9,1.41652,1.05386,0.011,0.68532,0.58792,0.63551,0.34724,1.7791,1.68545,0.01498,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,27815.9,1.40928,1.02782,0.01092,0.68955,0.5839,0.63563,0.34753,1.77608,1.69287,0.01497,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,28364.5,1.39721,1.0134,0.01078,0.68975,0.58461,0.6342,0.34735,1.77583,1.69688,0.01496,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,28913.7,1.38653,0.99742,0.01068,0.6901,0.58381,0.63381,0.34678,1.77478,1.70293,0.01495,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,29462.3,1.37234,0.9789,0.0105,0.69015,0.58337,0.63298,0.34724,1.77817,1.70269,0.01498,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,30010.3,1.36612,0.97404,0.01043,0.69804,0.57937,0.63333,0.34743,1.77954,1.70618,0.015,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,30557.4,1.35723,0.96224,0.01036,0.70092,0.57999,0.6334,0.34725,1.77963,1.71107,0.01499,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,31108.1,1.33698,0.94565,0.01017,0.69647,0.58334,0.63358,0.34722,1.78203,1.71458,0.01504,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
